LanguageGroup;Arabic
MaleNames;Ahmad,Mohammed,Ali,Omar,Hassan,Ibrahim,Abdullah,Khalid,Yusuf,Saad,Faisal,Imran,Nabil,Zaid,Anwar,Rami,Tariq,Jamal,Samir,Majid,Adnan,Hamza,Mahmoud,Bilal,Sami,Karim,Yahya,Farid
FemaleNames;Aisha,Fatima,Zahra,Mariam,Layla,Noor,Huda,Salma,Yasmin,Rania,Nadia,Amal,Dina,Hanan,Sara,Lina,Nourhan,Iman,Ruqayya,Samira,Khadija,Zeinab,Jamila,Reem,Lubna
Surnames;Alfarsi,Alhassan,Alsheikh,Alnasser,Almaktoum,Abdulrahman,Hassani,Khalifa,Alrashid,Alhamdan,Albanna,Alawi,Basri,Sharif,Almasri,Abbasi,Almansoori,Hakim,Sabbagh
Region;Mintaqa,Hayy,Wilaya,Manatiq,Daera,Amara,Bilad,Samt,Qutr,Medina
State;Dawla,Imara,Mamlaka,Sulta,Wilaya,Khilafa,Balad,Muqata
Ocean;Muhit,BahrKabeer,BahrAbyad,MuhitAtlasi,MuhitHindi
Sea;Bahr,Yam,Sahil,BahrSaghir,BahrMalih
Lake;Buhayra,MaTameel,MaZila,MaMlaa
DeepOcean;BahrAmiq,MuhitAmiq,BahrQari,AmqAlMuhit
Mountain;Jabal,Tall,Qimma,JabalKabir,Tali,Qura
Plains;Sahl,Badiya,Fallaha,Rawdah,Maidan,Marj
Desert;Sahra,Naqab,Raml,Badiya,Fayyad,Khala
Tundra;ArdBarida,Thaljiyah,ArdMujammida,MajalSaqi
Forest;Ghaba,Waha,ArdMughattaya,GhabatAshjar,Karoum
Jungle;Adghal,GhabaKhatira,WahaKhatira,GhabaMotakhasila
Coast;Sahel,Shat,Shati,KhatSaheli,Tarf
Bay;Khalij,BahrKhafi,KhalijSaghir,Marfa
Gulf;Khalij,KhalijKabir,KhalijYamini,KhalijQadim
CitySuffix;abad,balad,qarah,madina,dar
CityPrefix;Al,Jadid,Qadim,Umm,Bayt,Dar,Balad
RiverNames;Dijla,Furat,Nahr,Yarmouk,Barada,Jordan,Orontes,Litani,Awali,NahrIbrahim
MountainNames;JabalLubnan,JabalSinai,JabalAseer,JabalNour,JabalShammar,JabalTariq
GenericWords;Bahr,Sahra,Shams,Qamar,Nahr,Ma,Hawa,Ard,Jabal,Wadi,Sahel,Ghaba,Hayat,Nour,Nar,Hajar,Samaa,Barq,Raad,Daw',Zaman,Makan,Kalb,Hisn,Balad,Nasr,Hikma,Kutub,Kharita,Malak,Shajar,Thamar,Kawkab,Amm,Hafila,Sabil,Khat,Nizam,Madina,Masjid,Dar,Thaqafa,Aql,Tarikh,Faras,Asad,Naml,Shibl,Shajara,Tayr,Qalb,Hilm,Samt,Fajr,Ghurub,Shuruq,Thalj,Raml,Turab,Matar,Sahab,Reeh,Hijra,Safha,Suwar,Qalam,Kitaab,Ahl,Usra,Habib,Salam,Harb,Aman,Din,Iman,Sabr,Saada,Hazn,Amal,Khayal,Nouran,Kanz,Zahra,Warda,Tifl,Bahria,Ramlah,Mawja,Shaqq,Durub,Nadi,Masrah,Suq,Maktaba,Madrasa,Qaryah,Madina,Mamlaka,Mawatin,Nizam,Tanzim,Sharia,MadinaMunawara,Basra,Qahirah,Khartoum,Manama,Tunis,Rabat,Sana,Marrakech,Doha,Najd,Hijaz,Yemen,Sham,Iraq,Maghreb,Khaleej,Farah,Shidda,Nasr,Burhan,Hikmah,Sultan,Amir,Khalifa,Mufti,Imam,Shaykh,Alim,Tariq,Majlis,Diwan,Qadi,Harim,Manzil,Rihla,Matar,Mustashfa,Thaniyah,Rawda,Rawi,Sana,Tariqa,Mahjar,Wasat,Janub,Sharq,Gharb,Shamal
