LanguageGroup;Bantu
MaleNames;Juma,Kamau,Kwame,Bakari,Chidi,Simba,Omari,Lubanga,Temba,Musa,Amari,Sefu,Tano,Mosi,Nuru,Kato,Shaka,Baraka,Mbwana,Taji
FemaleNames;Amina,Zuri,Nia,Imani,Nuru,Safiya,Nia,Neema,Tandi,Jamila,Kesi,Subira,Ayana,Adia,Bintu,Siti,Lina,Halima,Zola,Sabah
Surnames;Okoro,Nkosi,Mwangi,Banda,Kunda,Molefe,Ncube,Maduka,Chiluba,Ngoma,Obasi,Kalenga,Tembo,Chirwa,Dlamini,Mpofu,Nkandu,Mulumba,Nsimba,Mudenda
Region;Eneo,Sehemu,Mahali,Jimbo,EneoKuu,Wilaya,Mkoa,Maeneo,Shamba,Ardhi
State;Serikali,Nchi,Jimbo,Kabila,Mkoa,Shirikisho,Utawala
Ocean;Bahari,Upeo,Majimarefu,Majikuu
Sea;Bahari,Majimaji,Ufuoni,Majiafu
Lake;Ziwa,Majimaji,ZiwaKuu,SehemuYaMaji
DeepOcean;BahariKuu,ZiwaRefu,UpeoWaMaji
Mountain;Mlima,Milima,Kilima,Kipande
Plains;Tambarare,Uwanja,Uga,Nyika
Desert;Jangwa,EneoKavu,SehemuKavu,UgaKavu
Tundra;Tundra,ArdhiBaridi,EneoBaridi
Forest;Msitu,Porini,ArdhiYaMiti,Makonde
Jungle;Vijimiti,MsituMnene,Makonde
Coast;Pwani,Ufuoni,Mwambao
Bay;Ghuba,Bonde,LangoLaMaji
Gulf;GhubaKuu,UwembambaBahari,SehemuYaBahari
CitySuffix;kota,jiji,kijiji,mji,mtaa,eneo
CityPrefix;Kubwa,Ndogo,YaJuu,YaChini,Upya,YaZamani
RiverNames;Nile,Congo,Kasai,Limpopo,Luangwa,Shire,Rufiji,Malagarasi,Tana,Kafue
MountainNames;Kilimanjaro,Elgon,Drakensberg,Rwenzori,Usambara,Aberdare,Namuli,Njesi
GenericWords;Maji,Ardhi,Moto,Hewa,Maisha,Kifo,Siku,Usiku,Anga,Nyota,Mwezi,Jua,Maua,Mti,Majani,Msitu,Mto,Ziwa,Mlima,Bonde,Uwanja,Barabara,Daraja,Mnara,Jumba,Mji,Kijiji,Nyumba,Lango,Ukuta,Soko,Hekalu,Kanisa,Mfalme,Malkia,Mwana,Malkia,Shujaa,Mwanajeshi,Adui,Rafiki,Upendo,Chuki,Hofu,Tumaini,Imani,Ukweli,Heshima,Utukufu,Sheria,Haki,Roho,Mwili,Akili,Moyo,Damu,Jina,Lugha,Sauti,Wimbo,Kelele,Kimya,Neno,Maandishi,Kitabu,Ramli,Msafara,Hadithi,Kisiwa,Fukwe,Meli,Upepo,Dhoruba,Mvua,Theluji,Barafu,Joto,Mwanga,Kivuli,Muujiza,Uchawi,Uaguzi,Mchawi,Baraka,Laani,Mungu,RohoMtakatifu,Pepo,Malaika,Jini,Nia,Hatima,Bahati,Ukweli,Siri,Ufunguo,Lango,Mlinzi,Ufalme,Miliki,Mipaka,Mkataba,Vita,Amani,Pigano,Mapigano,Dhidi,Pambano,Shinda,Shindwa,Mjumbe,Ishara,Amri,Mila,Historia,Kumbukumbu,Kumbuka,Panga,Mkia,Ngao,Ufumo,Mshale,Mchoro,Kisu,Sare,Faru,Kifaru,Jeshi,Askari,MpandaFarasi,Kiongozi,Jenerali,Wanajeshi,Kambi,Jumuiya,Watu,Taifa,Uhai,Sauti,Simu,Mwito,Maono,Utabiri,Njozi,Ndoto,Tundu,Pango,Shimo,Kilima,Lango,Tekete,Mto,Delta,MajiMto,Cheche,Nyanda,Taa,Ngome,Chuo,Shule,Dini,SehemuTakatifu,Abasia,NyumbaKubwa
