LanguageGroup;Basque
MaleNames;Aitor,Gorka,Iker,Unai,Asier,Eneko,Ibai,Xabier,Mikel,Jon,Gaizka,Amaiur,Ekaitz,Koldo,Ander,Harkaitz,Xanti,Eder,Benat,Iban
FemaleNames;Ane,Maite,Nahia,Irati,Aiora,Leire,Nekane,Ainhoa,Itxaso,Edurne,Izaro,Lur,Libe,Haizea,Arantza,Nahia,Zurine,Maddi,Olatz,Ilargi
Surnames;Etxeberria,Aguirre,Zubizarreta,Aranburu,Mendieta,Uribe,Goikoetxea,Azkarate,Urrutia,Eguren,Altuna,Garate,Lazkano,Odriozola,Elorza,Murgia,Iturbe,Belasko,Irureta,Lasa
Region;Eskualde,Eremu,Auzoa,Herri,Zona,Barrutia,Bailara,Ingurune,Lurralde
State;Estatu,Egoera,Herrialde,Botere,Nazio,Erresuma,Burujabetza
Ocean;Itsaso,Ozeano,Ura,Zabalura,Itsasertz,ZabalItsaso
Sea;Itsasoa,Ura,Itsasertz,Itsasalde,Itsaslabar
Lake;Aintzira,Urbasa,Ura,Belagana,Urmaela,Uhaitzandi
DeepOcean;SakonItsaso,ItsasSakon,UhinSakon,Ilunura
Mountain;Mendi,Gaina,Gorbeia,Txindoki,Anboto,Mendilerroa
Plains;Lautada,Zelaia,Soroa,Lurzoru,LurLasaia
Desert;Basamortu,LurzoruLehor,SoroLehor,HondarGune
Tundra;HotzLur,IzotzGune,ElurEremu,PermaLur
Forest;Basoa,ZuhaitzGune,Oihan,Basogune,Arboladi
Jungle;OihanTrinko,OihanBeltz,SasiOihan
Coast;Itsasertza,Kostalde,ItsasertzekoEremu
Bay;Badia,Bahia,IhesBadi,Badiatxiki
Gulf;Golkoa,GolkoZabal,GolkoHandi
CitySuffix;berri,eta,don,be,uri,zubi,ano
CityPrefix;Goi,Zubi,Ur,Bas,Eliz,Santa,Alde,Eneko
RiverNames;Ebro,Nervion,Bidasoa,Deba,Urola,Oria,Urumea,Leitzaran,Zadorra,Baztan
MountainNames;Anboto,Gorbeia,Txindoki,Aizkorri,Aralar,Aratz,Udalaitz,Jaizkibel,Izarraitz,Saioa
GenericWords;Mendi,Baso,Itsaso,Ura,Lur,Aintzira,Herri,Zubi,Harri,Zelaia,Etxe,Bidea,Begia,Ilargi,Eguna,Gaua,Izarra,Aizea,Haizea,Zuhaitza,Errota,Ibai,Badia,Oihan,Belarra,Abere,Haitz,Zuloa,Kobazuloa,Erreka,Zarata,Bakardadea,Argia,Iluntasuna,Eguna,Ama,Aita,Haurrak,Semea,Alaba,Anai,Arreba,Lagun,Amets,Izena,Etxeko,Garai,Behe,Goiz,Arrats,Ihintza,Euri,Elurra,Hotza,Beroa,Argazki,Inauteri,Zaharra,Berria,Eguzki,Hodei,Oroitzapen,Abesti,Kanta,Dantza,Hitza,Herria,Nazioa,Askatasuna,Bakea,Indarra,Gogo,Asmoa,Ahalmena,Ametsa,Arima,Elkar,Eskua,Begiak,Bihotza,Zentzua,Gogoa,Kantu,Begi,Argi,Itzal,Oihartzun,Izaki,Baldintza,Egitura,Ekintza,Antolaketa,Gizartea,Hizkuntza,Euskara,Ingurua,Bizia,Arnasa,Arnasketa,Zain,Odola,Hezur,Azala,Itxura,Burua,Adimena,Ikusmena,Entzumen,Zaporea,Usaina,Ukimen,Neurria,Mugimendu,Bidean,Helmuga,Norantza,Bira,Kokapena,Ikaskuntza,Trebetasuna,Zaletasuna,Ezagutza,Jakintza,Grina,Bihotzmina,Oroimena,Maitasuna,Eskerrak,Zoriona,Poza,Eguna,Gaua
