LanguageGroup;Berber
MaleNames;Massinissa,Tariq,Yuba,Iderfan,Aziz,Iskaren,Mokran,Aselmad,Sifax,Tahar,Karim,Amar,Mimoun,Yannis,Ziri,Meziane,Lyes,Saidi,Amokrane,Tafsut
FemaleNames;Tazdayt,Fatima,Tinhinan,Dihia,Mezghena,Tanirt,Assirem,Nabila,Lila,Tiziri,Tafsut,Asma,Taklit,Yamina,Zahra,Tanemmirt,Tigzirt,Thilla,Azenzar,Nisrine
Surnames;AitAhmed,Imalhayen,AitAli,Chebbi,BenYounes,Belkacem,BenAmar,AitMohand,OuAli,OuAkli,Amrouche,BenTahar,OuKaci,AitLahcen,Chenna,AitHamou,OuZiri,Afellah
Region;Agdud,Asirem,Tamort,Tamazirt,Takli,Timizar,Tiniri,Tamda,Azar,Targa
State;Tagldit,Tamazgha,Agraw,Tamegroute,AgrawAmeqqran,Tazmert
Ocean;AmellalNIman,AnzarAmeqqran,Tabratt,AnzarUgar,AgwlimanAmeqqran
Sea;Anzar,Tabratt,Tiwizi,Ameqqran,ImiNAnzar
Lake;Tamda,Agelmam,Taghbalut,Tassawant,Tiberkukin
DeepOcean;AnzarAqbu,AmeqqranNIman,AgelmamAmanar
Mountain;Adrarn,Adrar,Akaln,Taghermat,Azrou,Tislit,Asammer,Tigherwin
Plains;Asirem,Tasga,Tamessa,Tizra,Agadir,Isli,Tazerzit
Desert;Afraw,AsifNItri,Imider,Tanirt,Nfous,Tafsut,AkalTazeggaght
Tundra;Azeggagh,Tazerdount,Tafrawin,TamazirtAssemmi,Assirem
Forest;Tizrawin,Arayan,Akachmir,Asammer,Azegzaw,Tizghi
Jungle;Timzwura,Tasaggart,AsammerAmeqqran
Coast;AsiremNAnzar,Imi,ImiNAsif,Amrayan,TamdaNAnzar
Bay;ImiNAnzar,Tighremt,Boughrara,Timsal
Gulf;TighremtAmeqqran,Aghir,Tikemt,Taghrast
CitySuffix;nAyt,ghir,amane,azrou,akli,iman,targa,ghar,Tamazirt
CityPrefix;Tizi,Ait,Imi,Agadir,Tam,Id,Tak,Tin
RiverNames;AsifNoun,AsifMelloul,AsifTissint,AsifTarga,AsifSouss,AsifZiz,AsifDraa,AsifTensift,AsifRheris
MountainNames;AdrarNDir,AdrarNIfri,AzrouTazizaout,AdrarMelal,TiziNTaghat,AkilMelul
GenericWords;Akal,Anzar,Tamazirt,Adrar,Asif,Tamda,Tiwizi,Tamurt,Tighremt,Imi,Azenzar,Tissit,Tislit,Taklit,Tifawin,Tazzult,Azrou,Isli,Tislit,Imi,Nfous,Tiziri,Assirem,Tafsut,Taghbalut,Tiwizi,Agadir,Amenzu,Asirem,Tazdayt,Tighzi,Tamurt,Tifawin,Tigmi,Tagzirt,Tanirt,Amdan,Iman,Taghast,Ameqran,Ameknas,Takwin,Tislit,Ayur,Asirem,Tidett,Tazrart,Tazwart,Tigherwin,Tighist,Taklit,Tazaghant,Tamsirt,Tamellalt,Timsal,Afraw,Azeggagh,Agraw,Tazmert,Ametz,Tiwizi,Tamasna,Taghrast,Tala,Tifelt,Azouka,Azerwal,Thazrart,Tazrart,Agadir,Ayt,Tamda,Tislit,Asirem,Imgharen,Tigmmi,Tamazirt,Tizrawin,Tighremt,Tiwizi,Amdak,Takilt,Tawenza,Agadir,Izem,Asirem,Thalla,Amezwaru,Tamazirt,Tamunt,Targa,Tazegzawt,Izuran,Tazrawt,Adrar,Tislit,Tiziri,Takfarinas,Aghilas,Thakilt,Takrawla,Tanemmirt,Afus,Tamsa,Tarwa,Amezian,Tassira,Tazrart,Tamsirt,Adar,Tamdint,Tawenza,Tafrawt,Tazdayt,Tazaghant,Tazwurt,Tamsa,Tajmilt,Imzilen,Taddart,Afsou,Takhmirt,Asgwas,Tagmat,Tatrit,Azalay,Tidrart,Agoulmim,Tissoufra,Tazmert,Tafaska,Tiwizi,Imnayen,Awal,Tazemourt,Azemzour,Tiniri,Amellal,Azegzaw,Aghanim,Tafaska,Azrou,Tawrirt
