LanguageGroup;Celtic
MaleNames;Aidan,Bran,Ciaran,Declan,Eoin,Fergus,Gareth,Hugh,Iwan,Keiran,Liam,Malcolm,Niall,Owen,Padraig,Quinn,Rhys,Seamus,Taran,Ulrich
FemaleNames;Aine,Brigid,Carys,Deirdre,Eira,Fiona,Grainne,Isolde,Kelly,Laoise,Maeve,Nessa,Orla,Peigi,Rowena,Saoirse,Tegan,Una,Vanora,Wynne
Surnames;MacLeod,OBrien,MacDonald,Griffiths,MacGregor,Evans,MacNeill,Walsh,MacKenzie,Davies,OConnor,MacMurrough,MacArthur,Rees,MacFarlane,Kelly,Price,MacDougall,MacMillan,Roberts
Region;Tuath,Territory,Dinas,Bailte,Bro,Coille,Ard,Tre,Glen,Ceantar
State;Roinn,Cathair,BailteMor,Tuatha,Clach,Comhairle
Ocean;MuirMor,YMor,Cuain,MorUisce,Cuan,GlasMuir
Sea;Muir,Bae,Cuan,UisceGlas,MorLin,CuanBeag
Lake;Loch,Llyn,Linn,Caol,UisceTiuch,Lochan
DeepOcean;Doimhneacht,CuainFuar,MuirDomhain,UisceDomhain,CuanDorch
Mountain;Beinn,Cnoc,Slieve,Bryn,Cairn,Carn,Ghlean,Ard
Plains;Magh,Rhos,Banwa,Achadh,Braigh,Raon
Desert;TirTirim,TalamhTirim,TirFuar,ClachFeamainne,AchadhReoite
Tundra;ReoTalamh,FuarMointeach,CriochReoite,TalamhSneachta
Forest;Coille,Ffridd,Wydd,Widlen,Kelenn,Brocoed
Jungle;CoilleThrom,CoilleTrom,UisceCoille
Coast;Cladach,BordMuir,Imeall,Traghad,Faobhar
Bay;Bae,CuanBeag,Balta,BaltMuir
Gulf;GleannMuir,CuanMor,BeulAnMhuir
CitySuffix;dun,burgh,tre,port,caer,dinas,wyn
CityPrefix;Aber,Bally,Llan,Inver,Port,Caer,Pen,Kin
RiverNames;Shannon,Liffey,Tay,Spey,Tweed,Severn,Avon,Dee,Clyde,Wye
MountainNames;BenNevis,CroaghPatrick,SlieveBloom,Snowdon,Macgillycuddy,Errigal,Tryfan,Cairngorm
GenericWords;Talamh,Muir,Uisce,Tir,Beinn,Cnoc,Loch,Baile,Dinas,Cuan,Ros,Ban,Rath,Ard,Lios,Cill,Magh,Coille,Fionn,Gleann,Breac,Fear,Tig,Tuath,Tuatha,Aite,Fuar,Grian,Teine,Ceol,Anam,Banwa,Tor,Boglach,Ron,Tonnta,TalamhTirim,Reo,TalamhReoite,Aonach,Laoch,Ri,Baintighearna,Bailte,Domhain,Faiche,Dorch,Grianach,Geal,Leac,Sliabh,Sruthan,Bearradh,Maitheas,Solas,Dorcha,Gorm,Cluain,Luchair,Ceantar,Neart,Aigne,Cine,Cro,Bradan,Abhainn,Port,Geata,Luach,Luas,Slan,Radharc,Snamh,Breith,Eolas,Scath,Bunadh,Crois,Fonn,Trom,Ceart,Seanchas,Trath,Greann,Sonas,Amhras,Eagna,Suim,Ardai,Leacht,Tairseach,Sceal,Ruain,Guth,Laigh,Boinne,Buas,Eireann,Failte,Doras,Sabhail,Leanbh,Seasamh,Crioch,Laidir,Milis,Neamh,Sceart,Torc,Broc,Faoileann,Realt,Ceim,Caislean,Sean,Gluais,Athair,Maighdean,Fior,Banrion,Lorg,Ball,Aisling,Each,Uamhan,Trodai,Liath,Clais,Corcra,Dearg,Buidhe,Glas,Dubh,Eiri,Athas,Buachaill,Cailin,Ceili,Muintir,Cnamh,Cnuasach,Dol,Spiorad,Ceilteach,Beatha,Seanchaidh,Cuimhne,Buail,Feile,Failte
