LanguageGroup;Dravidian
MaleNames;Arun,Kiran,Ravi,Suresh,Rajesh,Vinod,Mohan,Karthik,Prakash,Manoj,Ganesh,Vijay,Senthil,Bala,Ajay,Naveen,Siddharth,Anil,Varun,Dinesh,Deepak,Raghav,Krishna,Kumar,Jagadeesh,Hari,Prem,Rajiv,Satish,Chandran
FemaleNames;Lakshmi,Meena,Anitha,Revathi,Radha,Deepa,Uma,Kavitha,Divya,Priya,Sudha,Shanthi,Saranya,Anjali,Savitha,Maya,Rekha,Vaishnavi,Indira,Devika,Latha,Vidya,Bindu,Asha,Nithya,Padma,Sangeetha,Kalpana
Surnames;Reddy,Naidu,Iyer,Pillai,Menon,Nair,Rao,Gowda,Chettiar,Mudaliar,Murthy,Subramaniam,Krishnan,Anand,Sekhar,Balakrishnan,Srinivasan,Varadarajan,Sridhar
Region;Mandalam,Nadu,Kottam,Ooru,Seemai,Kudiyiruppu,Uru,Bhagam,Pradesh,Nilam
State;Rajyam,Nadu,Desam,Samayam,Rajiyam,Mandala,Bhumi,Samsthaana
Ocean;Perkadalu,Kadal,Samudram,Peralankadal,MukyaSamudra,Mahakadal
Sea;Kadal,Kadalu,Samudra,Perakadal,Theeram
Lake;Eri,Kulam,Kere,Chilika,Sarassu,Thangal,Pokhari
DeepOcean;Azhikadal,GambhiraSamudra,ThazhndhaKadal,ThazhKadal,NeeLakadalu
Mountain;Malai,Giri,Betta,Konda,Kunnu,Kundru,Tirumalai,Parvatham
Plains;Maidan,Talam,KondaiTharai,NedumNilam,Nilam
Desert;Valayam,NirNilam,KudariNilam,KarappuNilam
Tundra;PanikadumNilam,Nilapani,SigaramNilam,SudaNilam
Forest;Kaadu,Vana,Kaanu,Adukaadu,Thoppu,Kaduvu
Jungle;MottaKaadu,Perakkaadu,VettiKaadu,MulaVanam
Coast;Karai,Theeram,Kadalkarai,Kinaru,Pakkam
Bay;Vali,Kadalkuni,Serukkai,Mookuvalai
Gulf;Peravali,Thonduvalai,Kadalvelai,Mugai
CitySuffix;puram,nagar,oor,patnam,gramam,keri,pattinam,halli
CityPrefix;Peru,Chinna,Mela,Keezha,Puthu,Pala,Vara,Thiru
RiverNames;Kaveri,Godavari,Krishna,Tungabhadra,Palar,Vaigai,Thamirabarani,Penna,Noyyal,Sabari,Bhima
MountainNames;Nilgiri,Anamalai,Seshachalam,Vindhya,Ghats,Palani,Sirumalai,Brahmagiri,Agasthyakoodam
GenericWords;Kadal,Malai,Nadu,Ooru,Thurai,Kulam,Kaadu,Thoppu,Thanneer,Karai,Kizhakku,Merku,Vadakku,Then,Manal,Nilam,Tharai,Thanneer,Aaru,Samudram,Theeram,Kaatru,Puyal,Megam,Oli,Sugam,Kaatchi,Idam,Thunai,Veedu,Kudi,Makkal,Paambu,Eli,Kal,Thagaval,Kolam,Thagam,Unavu,Pasu,Murugan,Vilangugal,Kudil,Velicham,Iravu,Nila,Pagal,Kalai,Isai,Nadam,Oosai,Pesu,Mozi,Vazhi,Nilal,Vidiyal,Suvaikkam,Thani,Ooruvarai,Kurippu,Kaditham,Neram,Payanam,Nadappu,Pani,Vanam,Arangam,Urchavam,Santhai,Velai,Viduthi,Kattidam,Thoguppu,Thunai,Puthinam,Magizhchi,Inbam,Thunbam,Valimai,Arivu,Nool,Kavithai,Paadal,Nadanam,Natpu,Kanavu,Nenjil,Sirantha,Thonmai,Samayam,Moolam,Kurangu,Pul,Kazhudhai,Tharunam,Siraichaalai,Nattu,Sirappu,Pudhumai,Nilal,Thuli,Thirai,ThiraiVizhakku,Vizhippu,Nakkiran,Thamizh,Mozhi,Kalaignar,Katturai,Panbu,Manam,Uyir,Udal,Porul,Aasiriyar,Vinadi,Kuram,Kalaiarasi,Kutravai,Thinam,Vizhakku,Kannoli,Nunporul,Inippu,Kaiyal,Thozhil,Saadhanai
