LanguageGroup;Eskaleut
MaleNames;Amaq,Nanuq,Pana,Qajaq,Manik,Kunik,Taluk,Nutarak,Kavik,Sila,Kanaq,Naluk,Olik,Iluk,Tulok,Siku,Atka,Nuvuk,Mikigaq,Ukpik
FemaleNames;Sura,Panik,Anaana,Nuna,Tuila,Nivi,Nukka,Akna,Saqa,Aviaja,Pipaluk,Aliya,Katak,Naga,Ituk,Kimi,Nuska,Qimuk,Nuli,Arnaq
Surnames;Kalluk,Napatchie,Kiggavik,Aqpik,Atuat,Sakku,Inuk,Kautaq,Napak,Avatuk,Tuugaalik,Nuniq,Ikiaq,Maniilaq,Nukapigak,Asatchaq,Nuliajuk,Tattannuak
Region;Nuna,Avani,Anguni,Kangiq,Kivani,Naluna,Amaruq,Aglaktiq,Itiq,Kipik
State;Iliq,Angutik,Avanirniq,Amarut,Kavaniq,Tikigaq
Ocean;Imaq,Tingmiak,Kangiqtugaapik,SikuImaq,Aniqtuuq
Sea;Tingmiak,Imaq,Kangiq,Siku,Nalu
Lake;Tuniq,Imaqtuuq,Tuniqpak,Avimak,Aniq
DeepOcean;ImaqAdlat,NaluImaq,TingmiatKangiq
Mountain;Qilak,Kiglapait,Akilineq,Nanurjuk,Kuviviq
Plains;Naluna,Upiqat,NunaIliq,Tummaq,Iglutak
Desert;SikuIlupaaq,Nunataniq,AniqIlupaaq,Takuqpak
Tundra;Nuvuk,Upingaaq,SikuNuna,Tamasaun,Nanurta
Forest;Aglaktiq,Iglulik,Qiniq,Nuvuq,Amaruq
Jungle;Tunikpak,ImaqTikta,NunaTikta,Akulliq
Coast;Kangiqtugaapik,Sikulik,Naluk,Nuvuk,Iliqpak
Bay;Qikiqtarjuaq,Kangiq,Anguni,Iqlauq,Avaliq
Gulf;Kangiqtuk,Avanirniq,Imaqpak,Naluktaq
CitySuffix;vik,miut,naq,tuaq,lik,aq,naq
CityPrefix;Iglu,Avani,Nuna,Qikiq,Atka,Kangiq,Ukkuq,Siku,Uping,Mani
RiverNames;Kobuk,Yukon,Noatak,Colville,Selawik,Holitna,Nushagak,Kuskokwim,Tanana,Anaktuvuk
MountainNames;Denali,Wrangell,Redoubt,Iliamna,Spurr,Drum,Hayes,Foraker,Sanford,Susitna
GenericWords;Imaq,Siku,Nuna,Kangiq,Naluk,Upik,Ukpik,Avani,Qajaq,Amaq,Tulok,Tingmiak,Saqa,Kuvik,Nunavut,Kuvivak,Qikiq,Nanuq,Anguni,Naluna,Ilik,Akna,Pana,Manik,Tamasaun,Inuk,Nakuk,Kipik,Nuvuk,Sakku,Aniq,Tikigaq,Kalluk,Olik,Nivi,Kuvaniq,Nanu,Nunak,Aglaktiq,Avimak,Tuniq,SikuImaq,Tuugaalik,Qiniq,Kangiqtugaapik,Kangiqtuk,Atka,Sura,Kuvivaq,Nunapik,Kuggik,Anaktuvuk,Drum,Sanford,Colville,Foraker,Susitna,Wrangell,Yukon,Kuskokwim,Noatak,Tanana,Selawik,Nushagak,Redoubt,Hayes,Iliamna,Spurr,Ikiaq,Napagak,Qimuk,Kavik,Ukkuq,Nuska,Avatuk,Saqpuk,Ituk,Nuliajuk,Arnaq,Aliya,Asatchaq,Akilineq,Nanurjuk,Qilak,Kiglapait,Iglulik,Qikiqtarjuaq,Tummaq,Takuqpak,SikuIlupaaq,Nanurta,Amaruq,Aniqtuuq,Naluktaq,Iliqpak,Imaqpak,Avanirniq,Qikiqpak,ImaqAdlat,Iglutak,Avaliq,AniqIlupaaq,Upiqat,Nanuk,Mikigaq,Sila,Sikuq,Niviak,Nigaq,Iluk,Kimi,Nuttaq,Atuat,Napak,Nutaq,Tattannuak,Pipaluk,Panik,Anaana,Katak,TingmiatKangiq,Nuqak,Tuluaq,Kiggavik,Avaniq,Arviq,Nuliaq,Takutuk,Imaqtuuq,Tuniqpak,Anguti,Nuliaq,Amarut,Nunataniq,Bubutuk,Alagutak,Kuvani,Iligan,Kipak,Tikivak,Kuvigaq,Anuktuvuk,Kuvibuk,Sikipak,Tuktu,Nanuvaq,Aqulaq,Atuviq,Ipik,Agluq,Nunavik,Ituliq,Nalagak,Sikupaq,Imaqtuq,Qanupaq,Nipik,Kamalaq,Ilikuaq,Napakak,Itukak,Nuvutuk,Tikuvak,Tamuvik
