LanguageGroup;Latin
MaleNames;Marcus,Lucius,Gaius,Titus,Publius,Quintus,Servius,Aulus,Decimus,Caius,Flavius,Maximus,Valerius,Antonius,Cassius,Marcellus,Julianus,Drusus,Fabius,Severus,Augustus,Vitellius,Tiberius,Nero,Cornelius,Sextus,Horatius,Brutus,Silvanus,Domitius,Regulus,Traianus,Paulus,Gracchus,Urbanus,Longinus,Livius,Scaevola,Vibius,Varro,Faustus,Manlius,Nonius,Otho,Spurius,Atticus,Claudius,Priscus,Geminus,Remus
FemaleNames;Julia,Livia,Claudia,Aurelia,Cornelia,Octavia,Flavia,Antonia,Lucretia,Marcia,Valeria,Servilia,Domitia,Calpurnia,Larentia,Vibia,Fabia,Tullia,Licinia,Maia,Prisca,Larissa,Minerva,Drusilla,Paula,Silvia,Lavinia,Faustina,Aemilia,Alba,Helena,Marcella,Justina,Camilla,Viridia,Sabina,Lucilla,Aelia,Nona,Tertia,Caecilia,Severina,Rhea,Horatia,Candida,Vesta,Regina,Nigella,Longina,Gaia,Junia
Surnames;Aemilius,Julius,Cornelius,Flavius,Claudius,Antonius,Fabius,Valerius,Tullius,Horatius,Cassius,Licinius,Domitius,Manlius,Lucretius,Octavius,Servilius,Livinius,Brutius,Scipio,Maximus,Severus,Paullus,Labeo,Longinus,Varus,Drusus,Naso,Silvanus,Pompeius,Priscus,Veturius,Virginius,Atilius,Decimus,Gracchus,Regulus,Rufus,Remus,Geminus,Faustus,Vibius,Tiberius,Nero,Otho,Urbanus,Traianus,Maecenas
Region;Regio,Provincia,Territorium,Ager,Area,Pars,Segmentum,Zona,Tractus,Terra
State;Civitas,Provincia,ResPublica,Imperium,Regnum,Dominium,Statum
Ocean;Oceanus,MareMagnum,MareAltum,AquaeMagnas
Sea;Mare,MareInternum,MareSuperficiale
Lake;Lacus,Palus,AquaStagna
DeepOcean;ProfundumMare,AltusOceanus,MareTenebrosum
Mountain;Mons,Colles,Altitudo,Monticulus,Elevatio,Rupes
Plains;Planities,Campus,AgerApertus
Desert;Desertum,ArensTerra,Arenae,Vastus
Tundra;GelidaRegio,TerraFrigida,Frigus
Forest;Silva,Nemoris,Lucus
Jungle;SilvaDensa,Nemorosa,ViridisSilva
Coast;Ora,RegioLittoralis,Litus
Bay;Sinus,Golfus,Fretum
Gulf;SinusMagnus,AmplumFretum
CitySuffix;polis,ium,ville,burg,grad,ton
CityPrefix;Nova,Vetus,Sanctus,Portus,Altus,Magna,Parva
RiverNames;Tiber,Rhenus,Padus,Garumna,Sequanus,Albis,Danubius,Durius,Tagus,Ebro,Rhodanus
MountainNames;Alpes,Apenninus,Pyrenaei,Olympus,Vesuvius,Etna,Caucasus
GenericWords;Aqua,Terra,Ignis,Aer,Natura,Vita,Mors,Lux,Tenebrae,Mens,Corpus,Anima,Pax,Bellum,Veritas,Mentis,Orbis,Caelum,Nox,Dies,Lumen,Silva,Mare,Campus,Lacus,Flumen,Tempus,Aeternitas,Domus,Civitas,Porta,Via,Forum,Templum,Altitudo,Honor,Fides,Spes,Caritas,Gloria,Fama,Amor,Otium,Negotium,Libertas,Ratio,Scientia,Sapientia,Ars,Artifex,Poeta,Historia,Cultura,Respublica,Regnum,Imperium,Legatus,Milites,Eques,Praetor,Consul,Caesar,Tribunus,Senatus,Populus,Plebs,Ordo,Gens,Nomen,Patria,Natura,Deus,Dea,Rex,Regina,Principes,Bellator,Magnus,Parvus,Celer,Lentus,Gravis,Levis,Bonus,Malus,Fortis,Timidus,Audax,Prudens,Nobilis,Vulgus,Auctor,Scriptor,Pictor,Philosophus,Medicus,Faber,Pastor,Agricola,Venator,Piscator,Cithara,Flamma,Ventus,Nix,Pluvia,Fulmen,Tonitrus,Nubes,Sol,Luna,Stellae,Galaxia,Universum,Animal,Bestia,Avis,Piscis,Arbor,Flos,Herba,Radix,Fructus,Semina,Cibus,Panis,Vinum,Aqua,Poculum,Cena,Mensae,Tabula,Scaena,Theatrum,Porticus,Domus,Villa,Insula,Castra,Murus,Turris,Pontus,Structura,Machina,Instrumentum,Ferrum,Aurum,Argentum,Plumbum,Caesus,Fons,Opus,Officium,Negotium,Virtus,Vicium,Modus,Forma,Color,Sonus,Vox,Verbum,Littera,Pagina,Codex,Volumen
