LanguageGroup;Persian
MaleNames;Ali,Reza,Hossein,Mehdi,Ahmad,Amir,Mostafa,Majid,Farhad,Saeed,Hassan,Kaveh,Nima,Navid,Ebrahim,Babak,Ramin,Behzad,Kamal,Arman,Shahram,Milad,Omid,Peyman,Parham
FemaleNames;Fatemeh,Zahra,Narges,Maryam,Parisa,Shirin,Nazanin,Sara,Leila,Elham,Fatima,Mahsa,Niloofar,Yasmin,Golnaz,Simin,Taraneh,Ladan,Haleh,Mina,Sepideh,Sanaz,Roya,Forough
Surnames;Hosseini,Ahmadi,Karimi,Rezaei,Mohammadi,Taheri,Shirazi,Hashemi,Naseri,Azizi,Sadeghi,Soleimani,Kamali,Rahimi,Farhadi,Esfahani,Kazemi,Moradi,Rostami,Afshari
Region;Mantagheh,Ostan,Bakhsh,Nahiyeh,Shahr,Nahiyah,Bolook,Dehestan,Marz,Halqeh
State;Velayat,Ostan,Saltanat,Shahrestan,Hokoomat,Emarat
Ocean;Oghyanus,DaryaKalan,DaryaBozorg,OghyanusAram,OghyanusAtlantik
Sea;Darya,Bahr,AbHa,Daryacheh,DaryaMalih
Lake;Daryacheh,Abbandan,CheshmehAb,DaryacheKoochak
DeepOcean;OghyanusAmigh,DaryaAmigh,AmighAbha,OghyanusSakht
Mountain;Kuh,Kuhestan,Kuhsar,Kuhbandi,Tappeh,Kuhak,Polour
Plains;Dasht,Dashtestan,Dashtzar,Behran,DashtBozorg
Desert;Kavir,Regestan,DashtLakh,Loot,Sahra,Sabzan
Tundra;Yakhzar,Sardzar,ZaminSard,Yakhbandan
Forest;Jangal,Baghestan,Darakhteh,Jangalestan,JangalSabz
Jungle;JangalBozorg,JangalGhaleh,Darband,JangalTarik
Coast;Sahil,KenarDarya,BandarGah,SahilZar
Bay;Khalij,Bandar,KhalijSaghir,Gavbandi
Gulf;KhalijBozorg,KhalijFars,KhalijGarm,AbraKhalij
CitySuffix;abad,shahr,deh,kandeh,rood,ganj
CityPrefix;Now,Qadim,Bala,Paein,Ali,Sar,Shahr
RiverNames;Karun,Zayanderood,Aras,Haraz,Polrood,Sefidrood,Chaloos,Karkheh,Jajrood,Atrak
MountainNames;Alborz,Zagros,Damavand,Taftan,Tochal,OshtoranKuh,Shahkuh,Dena,HezarKuh,Bisotun
GenericWords;Ab,Atash,Zamin,Asman,Khak,Darya,Kuh,Dasht,Sabz,Shahr,Rood,Sahil,Kavir,Barg,Darakht,Setareh,Mehr,Shab,Rooz,Tarikh,Hamrah,Doshman,Dust,Khandan,Ghadar,Payam,Goftar,Rah,Cheshmeh,Del,Jan,Omid,Bahtar,Sharq,Shomal,Jonub,Sepid,Siah,Ghahve,Nam,Namak,Mazeh,Abzar,Zar,Sang,Tofang,Sepah,Sepahbod,Shir,Khar,Asb,Parvaz,Parandeh,Goriz,Gam,Gorg,ShirDar,Ard,Giah,Gol,Sorkh,Abi,Zard,Sabz,Narenji,Rangi,Miveh,Angoor,Seeb,Anar,Toot,Gav,Boz,Kharghosh,Palang,Yooz,Shekarestan,Abadani,Mandegar,Bokhar,Shoghl,Hunar,Honarmand,Danesh,Daneshgah,Ketab,Mah,Darvazeh,Ashegh,Bahar,Narges,Yas,Yalda,Shirin,Khosh,Nam,Pirooz,Rahnama,Mohabbat,Ehsaas,Ashti,Seda,Sedaayi,Behtar,Shafaq,Toofan,Bad,Baran,Rad,Bargard,Nasht,Neshat,Farhang,Tamaddon,Gamzadan,Nazanin,Azizam,Hamrah,Tanha,Tamam,Kamrang,Behrang,Mehrang,Shahrang,Sepidar,Bazm,Rag,Ragbar,Nab,Talab,Shoghl,Kar,Karfarma,Kargar,Sandogh,Pole,Pol,Maidan,Chaman,Bazaar,Moghadam,Sarbaz,Sepidar,Setayesh,DaryayehEshgh,Nabati,Sazesh,Bargasht,Mahalli,Boland,Past,Ghaem,Bargozideh,Pishraft
