LanguageGroup;Romance
MaleNames;Antonio,Marco,Luca,Matteo,Leonardo,Julien,Jean,Luc,Andre,Thierry,Jose,Pedro,Luis,Ramon,Felipe,Carlos,Mario,Paolo,Nicolas,Alexandre,Stefano,Giacomo,Victor,Enzo,Bruno,Francesco,Roberto,Ricardo,Alberto,Pablo
FemaleNames;Maria,Sofia,Giulia,Francesca,Ana,Isabel,Lucia,Camila,Elena,Carla,Louise,Juliette,Claire,Noemi,Patricia,Beatriz,Lisa,Simona,Valeria,Teresa,Chantal,Clara,Natalia,Helena,Florence,Silvia
Surnames;Rossi,Esposito,Ferrari,Russo,Romero,Silva,Garcia,Martinez,Santos,Perez,Moreau,Blanc,Leroux,Carvalho,Delgado,Lombardi,Barbosa,Fontaine,Costa,Greco,DeAngelis,Rubio,Fonseca,Delacroix
Region;Regione,Area,Zona,Terra,Lugar,Espacio,Parte,Comarca,Localidad,Territorio,Provincia
State;Stato,Estado,Etato,Estate,Governazione,Provincia,Departement
Ocean;Oceano,Mar,GrandeMar,AcquaProfonda,OceanoLargo
Sea;Mar,Mare,Mer
Lake;Lago,Lac,Laguna
DeepOcean;OceanoProfondo,MerProfonde,MarAbissal,Profundidade
Mountain;Monte,Montagna,Mont,Muntanya
Plains;Pianura,Planicie,Llanura,Campagna
Desert;Deserto,Desert,Secura,Arenale
Tundra;Tundra,TerraFredda,RegioneGhiacciata
Forest;Foresta,Bosco,Selva,Foret
Jungle;Giungla,SelvaTropicale,Jungla
Coast;Costa,Litoral,Riva,Rivage
Bay;Baia,Golfo,Ansa,Rada
Gulf;Golfo,Ensenada,Cala
CitySuffix;ville,borgo,polis,grad,bourg
CityPrefix;San,Santa,Nova,Villa,Bella
RiverNames;Tevere,Po,Loire,Seine,Rhone,Ebro,Tagus,Duero,Arno
MountainNames;Alpi,Appennini,Pyrenees,Cevennes,Dolomiti,MassifCentral
GenericWords;Acqua,Terra,Fuoco,Aria,Vita,Morte,Giorno,Notte,Cielo,Stella,Luna,Sole,Fiore,Albero,Erba,Foresta,Fiume,Lago,Montagna,Valle,Campo,Strada,Ponte,Torre,Castello,Citta,Villaggio,Casa,Porta,Muro,Mercato,Tempio,Chiesa,Re,Regina,Principe,Principessa,Eroe,Guerriero,Nemico,Amico,Amore,Odio,Paura,Speranza,Fede,Gloria,Onore,Legge,Giustizia,Anima,Corpo,Mente,Cuore,Sangue,Nome,Lingua,Voce,Canto,Rumore,Silenzio,Parola,Scrittura,Libro,Mappa,Viaggio,Avventura,Isola,Riva,Nave,Vento,Tempesta,Pioggia,Neve,Ghiaccio,Calore,Fumo,Luce,Ombra,Miracolo,Magia,Sortilegio,Incantesimo,Stregoneria,Benedizione,Maledizione,Divinita,Spirito,Santo,Diavolo,Angelo,Demone,Volonta,Destino,Sorte,Verita,Segreto,Chiave,Portale,Guardiano,Reame,Impero,Regione,Confine,Alleanza,Guerra,Pace,Battaglia,Combattimento,Scontro,Duello,Trionfo,Sconfitta,Messaggero,Segnale,Ordine,Comando,Tradizione,Storia,Memoria,Ricordo,Spada,Lancia,Scudo,Arco,Freccia,Lama,Armatura,Cavallo,Carro,Esercito,Soldato,Cavaliere,Capitano,Generale,Truppa,Accampamento,Villaggio,Popolo,Nazione,Spirito,Voce,Richiamo,Visione,Profezia,Incubo,Sogno,Labirinto,Caverna,Grotta,Collina,Pianura,Canyon,Abisso,Fiume,Delta,Ruscello,Fontana,Deserto,Oasi,Fattoria,Torre,Fortezza,Accademia,Scuola,Circolo,Oracolo,Santuario,Abbazia,Maniero
