LanguageGroup;SinoTibetan
MaleNames;Wei,Jun,Li,Bo,Zhi,Chen,Tao,Lei,Yun,Fang,Hao,Yi,Ming,Ren,Xu,Heng,Qiang,Jian,Yang,Long,Dawa,Sonam,Tenzin,Phuntsok,Ngawang,Jigme,Wangdu,Karma,Gyatso,Nima,Lobsang,Thubten
FemaleNames;Mei,Hua,Xin,Ling,Jing,Yan,Fang,Li,Zhen,Qi,Xiu,Min,Shu,Hui,Xia,Na,Chun,Lan,Ying,Bing,Tse,Deki,Choden,Pema,Dolma,Yangchen,Tsering,Sangmo,Kunsang,Tashi
Surnames;Li,Wang,Zhang,Liu,Chen,Yang,Zhao,Huang,Zhou,Lin,Tan,He,Gao,Luo,Deng,Guo,Ma,Xu,Sun,Duan
Region;Diqu,Quyu,Lingyu,Banbu,Diquyu,Quyuqu,Yuye,Diwei,Bum,Kyidug,Gongma
State;Guojia,Bang,Gu,Zhou,Shi,Di,Minzu,Duchy,Tsang,Bod
Ocean;Dahai,Shangyang,Changhai,Haizhi,Tianhai,Yangshenghai
Sea;Hai,Haizi,Xiaohai,Yangshui,Zhonghai
Lake;Hu,Chi,Shuijing,Hupan,Shuihu,Haizi,Tso,Ngatsho
DeepOcean;Shenhai,Chenshui,Yuanyang,Shenyang,Haishen,Haidi
Mountain;Shan,Ling,Zhongshan,Gaoshan,Qunshan,Tianshan,Yushan,Karakorum,Qilian,Hengduan
Plains;Pingyuan,Caodi,Dadi,Guangyuan,Wanli,Tianye
Desert;Shamo,Huangsha,Kumochang,Shaqu,Mocha
Tundra;Dongyuan,Hanling,Hanquan,Shuangdi,Xuebian
Forest;Senlin,Mulin,Shulin,Shanlin,Caolin
Jungle;Remulin,Mimi,Shenglinde,Conglin,Miye,Reyu
Coast;Haian,Yanhai,Haibin,Shatan
Bay;Wan,Haigang,Xiaowan,Huanwan
Gulf;Haigou,Yawan,Shenwan
CitySuffix;cheng,shi,ting,gang,dian,zhen,cun,du
CityPrefix;Xin,Gu,Jiu,Da,Xiao,Tian,Bei,Nan,Dong,Xi
RiverNames;Yangtze,Yangtze,Huanghe,Mekong,Yarlung,Brahmaputra,Salween,Minjiang,Lancang,Jinsha
MountainNames;Everest,Qomolangma,Kailash,Hengduan,Qilian,Gaoligong,Yulong,Baima,SnowyShan
GenericWords;Shui,Huo,Mu,Jin,Tu,Tian,Yue,Shan,Hai,Ren,Niang,Zi,Er,Guo,Jia,Shi,Ming,Yin,Yang,Feng,Yu,Lei,Xue,He,Hu,Chi,Huan,Ling,Jing,Li,Xin,Dan,Zhong,Yi,Qi,Lu,Long,Huai,Wei,Bai,Hei,Qing,Hong,Cheng,Huang,Lan,Zi,Yin,Zhen,Shou,She,Ge,Xing,Mian,Guan,Dong,Xi,Nan,Bei,Yan,Men,Lu,Dao,Ma,Che,Shu,Hua,Sheng,Si,Shou,Yan,Fa,Yi,Zhi,Zhou,Jie,Deng,Zou,Chi,Pa,Shang,Xia,Nei,Wai,Yi,Bu,Zu,Min,Cheng,Chuan,Bo,Fang,Jian,Zuo,You,Xun,Zhao,Shi,Qu,Yi,An,Shen,Jing,Bing,Tong,Xin,Xinxi,Meng,Xiang,Yi,Wu,Jing,Ping,An,Kai,Bian,Xiu,Gai,Xue,Ke,Gu,Xue,Yuan,Ling,Guan,Jie,Kou,Nao,Si,Mu,Jing,Zi,Shuang,Hong,Mei,Lian,Hua,Su,Tian,Yuan,Zao,Hou,Jie,Qiu,Ye,Chun,Xia,Qing,Hui,Yu,Fu,Guang,He,Xian,Yao,Wu,Hu,Mi,Xin,Qi,Chao,Tai
