LanguageGroup;Slavic
MaleNames;Ivan,Bogdan,Miroslav,Slavko,Dragomir,Dmitri,Sergei,Yuri,Aleksei,Vladimir,Nikola,Radek,Andrej,Branko,Boris,Petar,Milan,Lubomir,Stanislav,Radoslav,Viktor,Tomas,Jan,Pavel,Juraj,Zoran,Goran,Marko,Dusan,Kiril,Oleg,Matej,Velimir,Vlado,Simeon,Ivanov,Stefan,Jaroslav,Nikita,Miroslav,Ilya,Alexei,Bohdan,Radovan,Milosh,Zdenek,Lubos,Mateusz,Kazimir
FemaleNames;Milena,Olga,Tatiana,Natalia,Irina,Katya,Lubica,Dragana,Radmila,Marina,Anastasia,Elena,Lada,Daria,Kristina,Veronika,Svetlana,Mira,Sonja,Petra,Zlata,Alena,Yelena,Katarina,Lucia,Bozena,Miroslava,Danica,Tereza,Lubomira,Marija,Ilona,Olha,Milica,Nina,Lenka,Vesna,Jaroslava,Snezana,Zora,Roksana,Viera,Magdalena,Ruzena,Ksenia,Karolina,Adela,Radka
Surnames;Novak,Kovacs,Petrov,Ivanov,Kuznetsov,Smirnov,Horvat,Popov,Novik,Dmitriev,Sokolov,Bogdanov,Romanov,Zeman,Stojanovic,Mihailov,Babic,Dragunov,Kral,Krstic,Miloshevsky,Stepanov,Matovic,Antonov,Baranov,Borodin,Kozlov,Markovic,Simeonov,Veselov,Zverev,Volkov,Yakovlev,Zivkovic,Maksimov,Milenkovic,Tarasov,Grigoriev,Matejevic,Juric
Region;Regija,Kraj,Oblast,Zupa,Okres,Gmina,Rejon,Teren,Obvod,Rayon
State;Drzava,Stat,Respublika,Kraljevstvo,Zemlja,Oblast,Vlada
Ocean;Okean,VelikaVoda,More,Plavetnilo,BezdanVoda
Sea;More,VelikaVoda,MorskaPovrsina
Lake;Jezero,Bajer,Ribnjak,VodaStajaca
DeepOcean;DubokiOkean,Dubina,MorskiBezdan
Mountain;Planina,Vrh,Gora,Breg,Visoravan,Kamenjar
Plains;Ravnica,Poljana,Polje,Nizija
Desert;Pustinja,PesakZemlja,SuvaZemlja
Tundra;Tundra,ZaledjenaZemlja,SmrznutoPolje
Forest;Suma,Lug,Borik,Sumar
Jungle;Dzungla,GustaSuma,TropskaSuma
Coast;Obala,MorskaObala,Plaza
Bay;Zaliv,Uvala,Pristaniste
Gulf;VelikiZaliv,MoreZaliv,MoreUlaz
CitySuffix;grad,gorod,burg,dorov,polje
CityPrefix;Novi,Stari,Svety,Veliki,Mali,Severni,Juzni,Zapadni,Istocni
RiverNames;Volga,Dnipro,Don,Neva,Vistula,Elba,Morava,Tisa,Sava,Drava,Luga,Dvina
MountainNames;Tatry,Karpati,Ural,Balkan,Rila,Vitosha,Altai,Kavkaz
GenericWords;Voda,Zemlja,Vatra,Vazduh,Priroda,Zivot,Smrt,Svetlo,Tama,Um,Telo,Dusa,Mir,Rat,Pravda,Misao,Svet,Nebo,Noc,Dan,Svetlost,Suma,More,Polje,Jezero,Reka,Vreme,Vecnost,Kuca,Grad,Kapija,Put,Trg,Hram,Visina,Cast,Vera,Nada,Ljubav,Slava,Glas,Miris,Delo,Slika,Umetnost,Pesnik,Istorija,Kultura,Drzava,Kraljstvo,Carstvo,Poslanik,Vojska,Vitez,Prefekt,Konzul,Senat,Narod,Obicaj,Ime,Narodnost,Otadzbina,Bog,Boginja,Kralj,Kraljica,Vladar,Heroj,Velicanstven,Snazan,Brz,Spor,Tezak,Lagan,Dobar,Los,Hrabri,Plasljiv,Mudar,Plemenit,Obican,Autor,Pisac,Slikar,Filosof,Lekar,Kovač,Pastir,Ribar,Muzika,Vatra,Vetar,Sneg,Kisa,Grom,Grmljavina,Oblak,Sunce,Mesec,Zvezde,Galaksija,Svemir,Zivotinja,Zver,Ptica,Riba,Drvo,Cvet,Trava,Koren,Plod,Seme,Hrana,Hleb,Vino,Voda,Solja,Rucak,Sto,Scena,Teatar,Hodnik,Dom,Vila,Ostrvo,Tvrdjava,Zid,Kula,Most,Gradjevina,Masina,Alat,Gvozdje,Zlato,Srebro,Olovo,Kamen,Izvor,Rad,Obaveza,Snaga,Vrlina,Greska,Nacin,Oblik,Boja,Zvuk,Glas,Rec,Slovo,Strana,Knjiga,Svitak
