LanguageGroup;Turkic
MaleNames;Ahmet,Mehmet,Mustafa,Yusuf,Emir,Kaan,Serkan,Alp,Efe,Bekir,Baran,Sinan,Halil,Bora,Yalcin,Onur,Tunc,Orhan,Murat,Iskender,Talha,Kerem,Arif,Harun,Enes,Ramazan,Cemal,Salih,Taylan,Suat,Resul,Faruk,Bulent,Hakan,Taner,Adem,Selim,Zafer,Sinan,Cem,Kadir,Ilker,Batuhan,Utku,Savas,Ertugrul,Yilmaz,Emin,Serhat
FemaleNames;Ayse,Elif,Zeynep,Hatice,Fatma,Nur,Bahar,Derya,Yasemin,Esra,Meryem,Selma,Sibel,Gul,Asli,Belgin,Nazli,Hulya,Leyla,Aylin,Nazife,Melike,Sevgi,Hacer,Emine,Nihal,Fusun,Perihan,Canan,Semra,Cansu,Banu,Tugba,Nermin,Sumeyra,Filiz,Gamze,Yelda,Ozlem,Yildiz,Betul,Hazal,Hande,Serap,Arzu,Ebru,Mine,Naz,Yagmur
Surnames;Yilmaz,Kaya,Demir,Celik,Sahin,Koc,Aslan,Polat,Acar,Korkmaz,Ozturk,Erdogan,Yalcinkaya,Aydogan,Bayraktar,Turkmen,Karaman,Gunduz,Tuncer,Ersoy,Aydin,Arslan,Baskan,Ozkan,Bozkurt,Aybar,Coskun,Cetin,Durmaz,Efe,Karaca,Kilic,Sezer,Uysal,Cakmak,Basaran,Dogan,Ege,Kurt,Inan,Kurtulus,Isik,Temel,Sancar,Bilgin,Ekinci,Gunes,Uzun,Can
Region;Bolge,Yore,Mintika,Alan,Bucak,Saha,Mahalle,Il,Belde,Cevre,Diyar,Etraf,Civar,Toprak,Karakol
State;Devlet,Il,Beylik,Hanlik,Eyalet,Oba,Ulus,El,Memleket,Yurt
Ocean;Okyanus,Umman,BuyukSu,EnginSu,Denizler,Derya,BuyukDeniz
Sea;Deniz,Gol,Sular,Umman,Icdeniz,DalgaliSu
Lake;Gol,Golet,SuBirikintisi,Golluk,Durugol,KucukGol
DeepOcean;DerinDeniz,Derinlik,OkyanusDip,Enginsular,UmmanDerin,KaradenizDip
Mountain;Dag,SiraDag,Tepe,Yukseklik,Kaya,Kayalik,Adag,Camlik,Taslik,YukariDag
Plains;Bozkir,Ova,Duzluk,Yayla,Kir,GenisArazi,DuzArazi
Desert;Col,Kumluk,SicakArazi,IssizBolge,KizilToprak,Bozkum
Tundra;DonArazi,Sogukova,PermaToprak,Buzluk,KarToprak,Buzova
Forest;Orman,Agaclik,Koru,Meselik,Camlik,BuyukOrman,YesilKoru
Jungle;Sikorman,Tropikor,AgacDenizi,KoyuOrman,YabaniOrman
Coast;Kiyi,Sahil,DenizKenari,KenarHat,Serit,Kenarbolge
Bay;Korfez,Liman,Koy,Yarimada,KucukKoy,SuGirintisi
Gulf;BasraKorfezi,AgziDeniz,DenizGirintisi,BuyukKorfez,GenişKorfez
CitySuffix;kent,sehir,koy,kale,hisar,yurt,obasi,evleri,kasaba
CityPrefix;Yeni,Eski,Buyuk,Kucuk,Alti,Ustu,Dogu,Bati,Guney,Kuzey
RiverNames;Kizilirmak,Yesilirmak,Sakarya,Firat,Dicle,Aras,Kura,Indus,Talas,Amuderya,Syrderya,Tunca,Maritsa,Eren
MountainNames;TanriDaglari,Altay,Kackar,Beydaglari,Toros,Zagros,Kizildag,Nurdaglari,Ararat,Erciyes
GenericWords;Su,Toprak,Ay,Gun,Yildiz,Hayat,Deniz,Orman,Yol,Kader,Seref,Saat,Gun,Gul,Kaynak,Tarla,Bolge,Sehir,Dag,Kopru,Gol,Agac,Ates,Gok,Ev,Isim,Kapi,Zaman,Koy,Soz,Ask,Savas,Baris,Ses,Anahtar,Bus,Ordu,Gece,Kultur,Ruh,Beden,Kan,Tas,Duvar,Pazar,Gemi,Nehir,Ulke,Alp,Asil,Onur,Sabah,Aksam,Yildirim,Simsek,Bulut,Kara,Akgun,Yesil,Serin,Isik,Soguk,Sicak,Ruzgar,Bahar,Yagmur,Kar,Buz,Sakin,Dusunce,Dil,Hikaye,Oykü,Sanat,Yaz,Sonbahar,Kis,Bahar,Yasam,Umut,Doga,Bereket,Yayla,Golge,Doruk,Umut,Sevda,Gecmis,Gelecek,Simdi,Yaninda,Uzak,Yakin,Yolda,Yukari,Ana,Dogru,Yanlis,Kalp,Akil,Duygu,Duyum,Tarih,Efsane,Yolculuk,Kervan,Kok,Bas,Son,Yeniden,Yakinlik,Sogukluk,Daglik,Ormanci,Denizci,Asker,Sehirli,Koylu,Topluluk,Birlik,Baskent,Sahil,Limani,Yesillik,Golge,Bulutlu,Temiz,Kirlilik,Barinak,Kale,Hisar,Belde,Ilce,Oba,Yurt,Yaylak,Kisla
